Riforma/investimento;Codice univoco programma;Programma esclusivo/cofinanziato;Programma;Amministrazione titolare;Importo;Componente PNRR
Investimento;PNC-A.1;PNC-PNRR;Servizi digitali e cittadinanza digitale;PCM;350,00;M1C1
Investimento;PNC-A.2;PNC-PNRR;Servizi digitali e competenze digitali;PCM;250,00;M1C1
Investimento;PNC-A.3;PNC-PNRR;Tecnologie satellitari ed economia spaziale;PCM;800,00;M1C2
Investimento;PNC-A.4;PNC-DM MEF 15 luglio 2021;Ecosistemi per l’innovazione al Sud in contesti urbani marginalizzati;PCM;350,00;N/A
Investimento;PNC-B.1;PNC-DM MEF 15 luglio 2021;Interventi per le aree del terremoto del 2009 e 2016;PCM;1780,00;N/A
Investimento;PNC-C.1;PNC-DM MEF 15 luglio 2021;Rinnovo delle flotte di bus, treni e navi verdi - Bus;MIMS - Min Infr Mob;600,00;N/A
Investimento;PNC-C.2;PNC-DM MEF 15 luglio 2021;Rinnovo delle flotte di bus, treni e navi verdi - Navi;MIMS - Min Infr Mob;800,00;N/A
Investimento;PNC-C.3;PNC-DM MEF 15 luglio 2021;Rafforzamento delle linee ferroviarie regionali;MIMS - Min Infr Mob;1550,00;N/A
Investimento;PNC-C.4;PNC-DM MEF 15 luglio 2021;Rinnovo del materiale rotabile e infrastrutture per il trasporto ferroviario delle merci;MIMS - Min Infr Mob;200,00;N/A
Investimento;PNC-C.5;PNC-DM MEF 15 luglio 2021;Strade sicure – Messa in sicurezza e implementazione di un sistema di monitoraggio dinamico per il controllo da remoto di ponti, viadotti e tunnel (A24-A25);MIMS - Min Infr Mob;1000,00;N/A
Investimento;PNC-C.6;PNC-DM MEF 15 luglio 2021;Strade sicure – Implementazione di un sistema di monitoraggio dinamico per il controllo da remoto di ponti, viadotti e tunnel della rete viaria principale;MIMS - Min Infr Mob;450,00;N/A
Investimento;PNC-C.7;PNC-DM MEF 15 luglio 2021;Sviluppo dell’accessibilità marittima e della resilienza delle infrastrutture portuali ai cambiamenti climatici;MIMS - Min Infr Mob;1470,00;N/A
Investimento;PNC-C.8;PNC-DM MEF 15 luglio 2021;Aumento selettivo della capacità portuale;MIMS - Min Infr Mob;390,00;N/A
Investimento;PNC-C.9;PNC-DM MEF 15 luglio 2021;Ultimo/Penultimo Miglio Ferroviario/Stradale;MIMS - Min Infr Mob;250,00;N/A
Investimento;PNC-C.10;PNC-DM MEF 15 luglio 2021;Efficientamento energetico;MIMS - Min Infr Mob;50,00;N/A
Investimento;PNC-C.11;PNC-DM MEF 15 luglio 2021;Elettrificazione delle banchine (Cold ironing);MIMS - Min Infr Mob;700,00;N/A
Investimento;PNC-C.12;PNC-DM MEF 15 luglio 2021;Strategia Nazionale Aree Interne - Miglioramento dell'accessibilità e della sicurezza delle strade;MIMS - Min Infr Mob;300,00;N/A
Investimento;PNC-C.13;PNC-DM MEF 15 luglio 2021;Sicuro, verde e sociale: riqualificazione dell'edilizia residenziale pubblica;MIMS - Min Infr Mob;2000,00;N/A
Investimento;PNC-D.1;PNC-DM MEF 15 luglio 2021;Piano di investimenti strategici sui siti del patrimonio culturale, edifici e aree naturali;MIC - Min Cultura;1455,24;N/A
Investimento;PNC-E.1;PNC-DM MEF 15 luglio 2021;Salute, ambiente, biodiversità e clima;MS - Min Salute;500,01;N/A
Investimento;PNC-E.2;PNC-DM MEF 15 luglio 2021;Verso un nuovo ospedale sicuro e sostenibile;MS - Min Salute;1450,00;N/A
Investimento;PNC-E.3;PNC-DM MEF 15 luglio 2021;Ecosistema innovativo della salute;MS - Min Salute;437,40;N/A
Investimento;PNC-F.1;PNC-DM MEF 15 luglio 2021;Polis - Case dei servizi di cittadinanza digitale;MISE - Min Svil Eco;800,00;N/A
Investimento;PNC-F.2;PNC-PNRR;Transizione 4.0;MISE - Min Svil Eco;5080,00;M1C2
Investimento;PNC-F.3;PNC-DM MEF 15 luglio 2021;Accordi per l'Innovazione;MISE - Min Svil Eco;1000,00;N/A
Investimento;PNC-G.1;PNC-DM MEF 15 luglio 2021;Costruzione e Miglioramento padiglioni e spazi strutture penitenziarie per adulti e minori;Ministero Giustizia;132,90;N/A
Investimento;PNC-H.1;PNC-DM MEF 15 luglio 2021;Contratti di filiera e distrettuali per i settori agroalimentare, pesca e acquacoltura, silvicoltura, floricoltura e vivaismo;MIPAAF - Min Pol Agr;1203,30;N/A
Investimento;PNC-I.1;PNC-DM MEF 15 luglio 2021;Iniziative di ricerca per tecnologie e percorsi innovativi in ​​ambito sanitario e assistenziale;MUR - Min Uni e Ric;500,00;N/A
Investimento;PNC-L.1;PNC-PNRR;Piani urbani integrati;MINT - Min Interno;210,00;M5C2
Investimento;PNC-M.1;PNC-PNRR;Ecobonus e Sismabonus fino al 110% per l'efficienza energetica e la sicurezza degli edifici;MITE - Min Tran Ecol;4563,61;M2C3
