CUP,CIG
B10J22000000001,9424769D68
B10J22000000001,9424678253
B10J22000000001,942462890E
B11B19000320006,9292773EDC
B11B19001170007,88128745B0
B11B20000040007,9030066632
B11B20000040007,9287868F20
B11B20000040007,927988642F
B11B20000630005,Z162D62AE2
B11B20000630005,8413800767
B11B20000820001,8423689810
B11B20000850001,9420871CAD
B11B20000850001,94598860E3
B11B20000910001,Z1A2F22F1C
B11B20000910001,8579754CF8
B11B20000920001,Z4334D0B09
B11B20000920001,Z9234D505F
B11B20000920001,8515887C41
B11B20000930001,Z3A2ECDA19
B11B20000930001,ZAB34D0AA2
B11B20000930001,8581441D20
B11B20000930001,Z5134D5080
B11B20001310001,9492881D35
B11B20001310001,Z243898CF3
B11B20001310001,92703105D1
B11B20001310001,ZAB3919A01
B11B20001310001,Z153898DCF
B11B20001310001,9433259B94
B11B20001310001,927607071E
B11B20001310001,Z2B391BE19
B11B20001320001,Z9A3568E70
B11B20001320001,9494858CAE
B11B20001320001,Z4E37CFA9B
B11B20001320001,9552420A59
B11B20001320001,89782194B3
B11B20001320001,Z4437DFCB7
B11B20001400005,Z7D3767AAC
B11B20001400005,9341101865
B11B20001400005,88872338AC
B11B20001450003,880061513F
B11B21000270001,88511686E5
B11B21000270001,ZE631AAFA5
B11B21000270001,Z2C3412F30
B11B21000600005,8775240521
B11B21000600005,Z8B3361100
B11B21000600005,ZAD368501C
B11B21000600005,ZDB312D79F
B11B21000600005,ZED3091F24
B11B21000600005,Z5D314D4D7
B11B21000600005,ZCE3257EEC
B11B21000940001,8819672F90
B11B21001140001,9519017D51
B11B21001140001,9081446650
B11B21001140001,95361675F4
B11B21002240001,9514632AB4
B11B21002240001,9526437880
B11B21002290005,94892508D1
B11B21002350005,Z2836CD28D
B11B21002370005,Z8D36C1517
B11B21002380005,Z8C3842EE9
B11B21002490001,Z4732CE223
B11B21002490001,Z51328D48E
B11B21002490001,ZD2326D825
B11B21002490001,887590762A
B11B21002490001,Z6D32654FE
B11B21002500001,8877765370
B11B21002500001,Z6432CE21C
B11B21002510001,Z02334203C
B11B21002510001,ZC0327C382
B11B21002510001,8862845B0E
B11B21002510001,Z423380208
B11B21003170001,88863396EC
B11B21003170001,ZA4379FE78
B11B21003170001,ZD8361FE29
B11B21003170001,Z7E35D523E
B11B21003170001,Z4E32C2AB7
B11B21003170001,Z253620EA0
B11B21003170001,ZD7358CCC4
B11B21003180001,ZEA37F0806
B11B21003180001,ZD032AF1B0
B11B21003180001,ZC937F3CE6
B11B21003180001,Z8337F3CA9
B11B21003180001,Z7337F3D40
B11B21003470001,Z3C32ECB5E
B11B21003470001,Z6739022C9
B11B21003470001,Z2D32ECB3F
B11B21003470001,8916913563
B11B21005300006,Z1D3707112
B11B21005300006,92880927FC
B11B21006080002,ZDC3452077
B11B21006210002,903039882B
B11B21006460007,9433003853
B11B21006460007,955500820B
B11B21006460007,943330518D
B11B21006470006,ZF834A42FA
B11B21006670006,9458410ED6
B11B21006680006,9432931CE7
B11B21006680006,9483204B7F
B11B21006680006,Z84355F27F
B11B21006680006,949399762B
B11B21006680006,Z723557411
B11B21006680006,9380813BC5
B11B21006680006,945541032C
B11B21006700006,957108987F
B11B22000230006,948202810B
B11B22000230006,947781190E
B11B22000390005,9424906E76
B11B22000390005,9424884C4F
B11B22000390005,94248521EA
B11B22000650001,93877074E3
B11B22000650001,94223007EE
B11C19000310004,Z922A97ADC
B11C19000310004,Z0F3090C7C
B11C19000310004,8393585D73
B11C20000020005,8360372D37
B11C20000020005,8428289C19
B11C22000080006,Z0B381C2CD
B11C22000170006,94912993B6
B11C22000650006,9457979B2B
B11C22000710006,9507909EB4
B11C22000710006,Z8F3809614
B11C22000710006,9507135FFA
B11C22000710006,Z7C37D8190
B11C22000710006,ZBE37D80B9
B11C22000710006,9508037857
B11C22000710006,ZD8383A685
B11C22000710006,ZCC38095DA
B11C22000710006,9507575B15
B11C22000710006,95064098DF
B11D20000090001,8655589201
B11D20000090001,ZF631BDA19
B11D22000590006,9390390AF6
B11E20000190001,8515209CC0
B11E20000190001,ZF72F1E650
B11F20000020001,84170197CE
B11F20000020001,ZB92D28354
B11F22000010006,945264054B
B11F22000030006,9453080066
B11F22000060001,9515286668
B11F22000270006,ZCE389422C
B11F22000310006,94769892BA
B11F22000340006,Z3139312F5
