Amministrazione Titolare;Amministrazione Titolare precedente D.L. 173/2022;Id_Ente BDAP;Denominazione per esteso;Denominazione BDAP;CF;Codice_Ente_IPA;Codice_UO;Denominazione Unità Organizzativa;Note
GA - CDS e TAR;CDS - Cons di Stato;715442927553622702;CONSIGLIO DI STATO;CONSIGLIO DI STATO;80427570587;CDS;N/A;N/A;N/A
MAECI - Min Aff Est;MAECI - Min Aff Est;168342927553620201;MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE;MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE;80213330584;M_AE;N/A;N/A;N/A
MEF - Min Eco e Fin;MEF - Min Eco e Fin;439942928062860601;MINISTERO DELL'ECONOMIA E DELLE FINANZE;MINISTERO DELL'ECONOMIA E DELLE FINANZE;80415740580;M_EF;N/A;N/A;N/A
MIG - Min Giustizia;MG - MIN GIUSTIZIA;301642927553611601;MINISTERO DELLA GIUSTIZIA;MINISTERO DELLA GIUSTIZIA;80184430587;M_DG;N/A;N/A;N/A
MIM - Istr e Merito;MI - Min Istruzione;499443112914784501;MINISTERO DELL'ISTRUZIONE E DEL MERITO;MINISTERO DELL'ISTRUZIONE;80185250588;M_PI;N/A;N/A;N/A
MIC - Min Cultura;MIC - Min Cultura;499542930481209501;MINISTERO DELLA CULTURA;MINISTERO DELLA CULTURA;97904380587;M_BAC;N/A;N/A;N/A
MIT - Infr e Trasp;MIMS - Min Infr Mob;373643113433285101;MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI;MINISTERO DELLE INFRASTRUTTURE E DELLA MOBILITA' SOSTENIBILI;97532760580;M_INF;N/A;N/A;N/A
MASE - Amb Sic Ener;MITE - Min Trans Eco;308842927553457902;MINISTERO DELL'AMBIENTE E DELLA SICUREZZA ENERGETICA;MINISTERO DELLA TRANSIZIONE ECOLOGICA;97047140583;M_AMTE;N/A;N/A;N/A
MINT - Min Interno;MINT - Min Interno;288443113433083102;MINISTERO DELL'INTERNO;MINISTERO DELL'INTERNO;97149560589;M_IT;N/A;N/A;N/A
MASAF - Agr SovAl Fo;MIPAAF - Min Pol Agr;615142930513917301;MINISTERO DELL'AGRICOLTURA, DELLA SOVRANITA' ALIMENTARE E DELLE FORESTE;MINISTERO DELLE POLITICHE AGRICOLE ALIMENTARI E FORESTALI;97099470581;M_PAF;N/A;N/A;N/A
MIMIT - Imp md Italy;MISE - Min Svil Eco;583742927553576701;MIMIT - MINISTERO DELLE IMPRESE E DEL MADE IN ITALY;MINISTERO DELLO SVILUPPO ECONOMICO;80230390587;M_SVEC;N/A;N/A;N/A
MITUR - Min Turismo;MiTur - Min Turismo;653161908104102602;MINISTERO DEL TURISMO;MINISTERO DEL TURISMO;96480590585;WQF3ZW8F;N/A;N/A;N/A
MLPS - Min Lav Pol S;MLPS - Min Lav Pol S;764342930481225201;MINISTERO DEL LAVORO E DELLE POLITICHE SOCIALI;MINISTERO DEL LAVORO E DELLE POLITICHE SOCIALI;80237250586;M_LPS;N/A;N/A;N/A
MS - Min Salute;MS - Min Salute;485842927553468102;MINISTERO DELLA SALUTE;MINISTERO DELLA SALUTE;80242250589;M_SA;N/A;N/A;N/A
