Missione;Descrizione Missione;Componente;Descrizione Componente;ID Misura;Codice Univoco Misura;Descrizione Misura;Amministrazione Titolare;Codice univoco Milestone-Target;Milestone-Target;Nome Milestone-Target;Avanzamento;﻿Principali evidenze;﻿Allegato 1;﻿Allegato 2;﻿Allegato 3;﻿Allegato 4;﻿Allegato 5;﻿Allegato 6;﻿Allegato 7;﻿Allegato 8;﻿Allegato 9
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1R1.1;M1C1R1.01;Processo di acquisto ICT;MITD - MIN INNOV TEC;M1C1-1;Milestone;"Entrata in vigore dei decreti legge per la riforma 1.1 ""Processo di acquisto ICT""";2021 - 4° trimestre;La riforma è stata attuata mediante il Decreto-legge 77/2021, art. 53, convertito con Legge n° 108/2021, con cui sono state adottate misure volte alla semplificazione degli acquisti di beni e servizi informatici e di connettività. Inoltre, è stato pubblicato il 26 ottobre 2021 il Decreto Ministeriale che disciplina le modalità di svolgimento delle gare in via completamente telematica;https://www.gazzettaufficiale.it/eli/id/2021/07/30/21A04731/sg;https://www.gazzettaufficiale.it/eli/id/2021/07/30/21G00118/sg;https://www.gazzettaufficiale.it/eli/id/2021/10/26/21G00159/SG;N/A;N/A;N/A;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1R1.13;M1C1R1.13;"Riforma del quadro di revisione della spesa pubblica (""spending review"")";MEF - Min Eco e Fin;M1C1-100;Milestone;Entrata in vigore delle disposizioni legislative per migliorare l'efficacia della revisione della spesa - Rafforzamento del Ministero delle Finanze nel processo di monitoraggio e valutazione;2021 - 4° trimestre;Con il Decreto-legge n° 152/2021 art. 9, commi 8-11, è stato rafforzato il ruolo del Ministero dell’Economia e delle Finanze per il presidio dei processi di monitoraggio e valutazione e per supportare le Amministrazioni centrali (Ministeri) rispetto agli adempimenti di competenza, al fine di rendere più efficace ed efficiente il processo di spending review.;https://www.gazzettaufficiale.it/eli/id/2021/12/31/21A07784/sg;http://www.gazzettaufficiale.it/eli/id/2021/12/31/21G00257/sg;N/A;N/A;N/A;N/A;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1R1.12;M1C1R1.12;Riforma dell'amministrazione fiscale;MEF - Min Eco e Fin;M1C1-101;Milestone;Adozione di una revisione dei possibili interventi per ridurre l'evasione fiscale attraverso la predisposizione di una relazione per orientare le azioni di governo sul tema.;2021 - 4° trimestre;"La relazione istruttoria per orientare le azioni del Governo finalizzate alla definizione, entro il primo semestre 2022, di una strategia integrata di contrasto all’evasione fiscale, con particolare riferimento a quella derivante da omessa fatturazione, è stata firmata dal Ministro dell’Economia il 28 dicembre 2021. Tale relazione contiene: i) una valutazione di impatto ex post delle misure recanti incentivi ai consumatori; ii) un’analisi del rischio di evasione da omessa fatturazione; iii) una ricognizione tecnica delle possibili opzioni da valutare nella definizione della predetta strategia.";https://italiadomani.gov.it/content/dam/sogei-ng/documenti/Relazione-per-orientare-le-azioni-di-governo-volte-a-ridurre-l-Evasione-fiscale-derivante-da-omessa-fatturazione.pdf;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1R1.3;M1C1R1.03;Cloud first e interoperabilità;MITD - MIN INNOV TEC;M1C1-2;Milestone;"Entrata in vigore dei decreti legge per la riforma 1.3 ""Cloud first e interoperabilità""";2021 - 4° trimestre;A seguito dell'emanazione del Decreto-legge n° 77/2021, art. 41 comma 2 lett. a, b, convertito in Legge n° 108/2021, sono state adottate e pubblicate le linee guida AGID sull’infrastruttura tecnologica della Piattaforma Digitale Nazionale Dati (PDND), le linee guida sulla policy Cloud First ed è stato adottato il regolamento AGID sul Cloud della PA.;"https://ec.europa.eu/growth/tools-databases/tris/it/search/?trisaction=search.detail&amp;year=2021&amp;num=629";https://docs.italia.it/AgID/documenti-in-consultazione/lg-pdnd-docs/it/bozza/index.html;https://www.gazzettaufficiale.it/eli/id/2021/08/04/21G00122/SG;https://www.gazzettaufficiale.it/eli/id/2021/07/30/21A04731/sg;https://assets.innovazione.gov.it/1634299755-strategiacloudit.pdf;http://www.gazzettaufficiale.it/eli/id/2021/12/31/21G00257/sg;https://trasparenza.agid.gov.it/moduli/downloadFile.php?file=oggetto_allegati/213481831360O__O627+DT+DG+n.+627+-+15+dic+2021+-+Adozione+Linee+guida+PDND.pdf;https://trasparenza.agid.gov.it/archivio28_provvedimenti-amministrativi_0_123065_725_1.html;https://www.gazzettaufficiale.it/eli/id/2021/07/30/21G00118/sg
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1R3.1;M1C1R3.01;Riforma della giustizia;MG - MIN GIUSTIZIA;M1C1-29;Milestone;Entrata in vigore della legislazione attuativa per la riforma del processo civile;2021 - 4° trimestre;"È entrata in vigore, nel quarto trimestre 2021, la legislazione attuativa per la riforma del processo civile che mira a:- garantire l’effettiva attuazione dei tempi vincolanti per le procedure e un calendario per la raccolta delle prove;- introdurre mediazione e meccanismi alternativi di risoluzione delle controversie;- rafforzare i sistemi di monitoraggio a livello di tribunale e aumentare la  produttività dei tribunali civili;- modificare il sistema di quantificazione e recuperabilità delle spese legali. La riforma è stata altresì attuata con gli articoli 35 e 35bis del Decreto-legge n°152/2021 e ulteriori atti di normativa secondaria.";https://www.gazzettaufficiale.it/eli/id/2021/12/09/21G00229/sg;"https://www.giustizia.it/giustizia/it/mg_1_8_1.page?facetNode_1=0_57&amp;contentId=SDC354365&amp;previsiousPage=mg_1_8)";https://www.gazzettaufficiale.it/eli/id/2021/12/31/21A07784/sg;http://www.gazzettaufficiale.it/eli/id/2021/12/31/21G00257/sg;"https://www.giustizia.it/giustizia/it/mg_1_8_1.page?contentId=SDC353191&amp;previsiousPage=mg_1_8";"https://www.giustizia.it/giustizia/it/mg_1_8_1.page?contentId=SDC357877&amp;previsiousPage=mg_1_8";"https://www.giustizia.it/giustizia/it/mg_1_8_1.page?contentId=SDC360130&amp;previsiousPage=mg_1_8)";https://www.giustizia.it/giustizia/it/mg_1_7_1.page?contentId=SCA360140;"http://www.giustizia.it/giustizia/it/mg_1_8_1.page?contentId=SDC360539&amp;previsiousPage=mg_1_8"
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1R3.1;M1C1R3.01;Riforma della giustizia;MG - MIN GIUSTIZIA;M1C1-30;Milestone;Entrata in vigore della legislazione attuativa per la riforma del processo penale;2021 - 4° trimestre;"È entrata in vigore, nel quarto trimestre 2021, la legislazione attuativa per la riforma del processo penale. La riforma mira a:- estinguere il reato mediante condotte riparatorie e misure dirette alla razionalizzazione e allo snellimento del procedimento penale;- rafforzare il sistema di monitoraggio a livello di tribunale, aumentare la produttività dei tribunali penali e introdurre un sistema di incentivi per garantire una durata ragionevole dei procedimenti e l’uniformità delle prestazioni in tutti i tribunali.  La riforma è stata altresì attuata con gli articoli 35 e 35bis del Decreto-legge n°152/2021 e ulteriori atti di normativa secondaria.";https://www.gazzettaufficiale.it/eli/id/2021/10/04/21G00146/sg;https://www.gazzettaufficiale.it/eli/id/2021/08/07/21A04886/sg;https://www.gazzettaufficiale.it/eli/id/2021/12/31/21A07784/sg;http://www.gazzettaufficiale.it/eli/id/2021/12/31/21G00257/sg;"https://www.giustizia.it/giustizia/it/mg_1_8_1.page?contentId=SDC353191&amp;previsiousPage=mg_1_8";"https://www.giustizia.it/giustizia/it/mg_1_8_1.page?contentId=SDC357877&amp;previsiousPage=mg_1_8";"https://www.giustizia.it/giustizia/it/mg_1_8_1.page?contentId=SDC360130&amp;previsiousPage=mg_1_8)";https://www.giustizia.it/giustizia/it/mg_1_7_1.page?contentId=SCA360140;"https://www.giustizia.it/giustizia/it/mg_1_8_1.page?contentId=SDC360539&amp;previsiousPage=mg_1_8"
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1R3.1;M1C1R3.01;Riforma della giustizia;MG - MIN GIUSTIZIA;M1C1-31;Milestone;Entrata in vigore della legislazione attuativa per la riforma del quadro in materia di insolvenza;2021 - 4° trimestre;È entrata in vigore la legislazione attuativa della riforma del quadro in materia di insolvenza volta a digitalizzare e potenziare il processo esecutivo con meccanismi di allerta precoce pre-insolvenza e a rafforzare la specializzazione di organi giudiziari e pre-giudiziari per una gestione più efficiente di tutte le fasi del processo esecutivo, anche tramite la formazione e la specializzazione del personale giudiziario e amministrativo. La riforma è stata attuata con il Decreto-legge n° 118 del 24 agosto 2021, con il Decreto ministeriale n° 114 del 25 maggio 2021, gli articoli 30bis, 30ter, 30quater, 30quinquies del Decreto-legge n°152/2021 e ulteriori atti di normativa secondaria.;http://www.gazzettaufficiale.it/eli/id/2021/10/23/21A06353/sg;https://www.gazzettaufficiale.it/eli/id/2021/08/10/21G00121/sg;https://www.gazzettaufficiale.it/eli/id/2021/12/31/21A07784/sg;http://www.gazzettaufficiale.it/eli/id/2021/12/31/21G00257/sg;"https://www.giustizia.it/giustizia/it/mg_1_36_0.page?facetNode_1=0_51&amp;contentId=COS348899&amp;previsiousPage=mg_1_36";"https://www.giustizia.it/giustizia/it/mg_1_8_1.page?contentId=SDC353191&amp;previsiousPage=mg_1_8";"https://www.giustizia.it/giustizia/it/mg_1_8_1.page?facetNode_1=0_51&amp;contentId=SDC348467&amp;previsiousPage=mg_1_8";"https://www.giustizia.it/giustizia/it/mg_1_8_1.page?facetNode_1=0_51&amp;contentId=SDC348467&amp;previsiousPage=mg_1_8";https://www.csm.it/documents/21768/87316/Circolare+tabelle+2020-2022+%28delibera+23+luglio+2020+aggiornata+al+7+dicembre+2021%29/7e9d9356-2c80-9147-4211-f45050018b03?version=1.3
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I3;M1C1I3.00;Procedure di assunzione per i tribunali civili, penali e amministrativi;MG - MIN GIUSTIZIA;M1C1-32;Milestone;Entrata in vigore della legislazione speciale che disciplina le assunzioni nell'ambito del Piano Nazionale di Ripresa e Resilienza;2021 - 4° trimestre;Nel bollettino ufficiale del Ministero della Giustizia n° 14 del 31 luglio 2021 sono stati pubblicati i decreti ministeriali per il reclutamento degli addetti agli uffici del processo e l’avvio alla relativa procedura per la selezione e assunzione in servizio.;https://www.gazzettaufficiale.it/eli/gu/2021/07/06/53/s4/;https://www.gazzettaufficiale.it/eli/id/2021/08/02/21A04700/sg;https://www.gazzettaufficiale.it/eli/id/2021/08/07/21A04886/sg;"https://www.giustizia.it/giustizia/it/mg_1_8_1.page?facetNode_1=0_13&amp;facetNode_2=0_25&amp;facetNode_3=1_1%282021%29&amp;contentId=SDC342518&amp;previsiousPage=mg_1_8";https://www.gazzettaufficiale.it/eli/gu/2021/08/06/62/s4/pdf;"https://www.giustizia.it/giustizia/it/mg_1_8_1.page?facetNode_1=1_1%282021%29&amp;facetNode_2=1_1%28202109%29&amp;facetNode_3=1_1%2820210928%29&amp;contentId=SDC348918";https://www.gazzettaufficiale.it/eli/gu/2021/12/10/98/s4/pdf;"https://www.giustizia.it/giustizia/it/mg_1_8_1.page?facetNode_1=4_10&amp;contentId=SDC353191&amp;previsiousPage=mg_1_8";"https://www.giustizia.it/giustizia/it/mg_1_8_1.page?facetNode_1=4_10&amp;contentId=SDC354365&amp;previsiousPage=mg_1_8"
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1R1.9;M1C1R1.09;Riforma della pubblica amministrazione;PCM - Min Pub Amm;M1C1-51;Milestone;Entrata in vigore della legislazione primaria sulla governance del PNRR;2021 - 4° trimestre;Con il Decreto-legge n° 77/2021, artt. 2, 3, 5, 6, 7, 8, 9, convertito in legge n° 108/2021, e il Decreto-legge n° 80/2021, artt 8, 9, 10, convertito in legge 113/2021, sono state introdotte norme sulla governance del PNRR;https://www.gazzettaufficiale.it/eli/id/2021/07/30/21A04731/sg;https://www.gazzettaufficiale.it/eli/id/2021/07/30/21G00118/sg;https://www.mit.gov.it/nfsmitgov/files/media/normativa/2021-10/Fondo%20complementare_DPCM%2015%20settembre%202021.pdf;https://www.gazzettaufficiale.it/eli/id/2021/11/23/21A06969/SG;"https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legge:2021-09-10;121";https://www.rgs.mef.gov.it/_Documenti/VERSIONE-I/CIRCOLARI/2021/21/Circolare-del-14-ottobre-2021-n-21.pdf;https://www.rgs.mef.gov.it/_Documenti/VERSIONE-I/CIRCOLARI/2021/25/Circolare_del_29_ottobre_2021_n_25.pdf;"https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:2021-08-06;113";https://www.gazzettaufficiale.it/eli/id/2020/12/30/20G00202/sg
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1R1.9;M1C1R1.09;Riforma della pubblica amministrazione;PCM - Min Pub Amm;M1C1-52;Milestone;Entrata in vigore della legislazione primaria sulla semplificazione delle procedure amministrative per l'attuazione del PNRR.;2021 - 4° trimestre;Con il Decreto-legge n° 77/2021, artt. 17, 18bis, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 33bis, 34, 35, 36ter, 37, 40, 44, 48, 57 convertito in Legge n° 108/2021, art sono state introdotte norme volte a semplificare le procedure amministrative per l'attuazione del PNRR (es. VIA, Silenzio-assenso, Conferenza di servizi per approvazione dei progetti) e le procedure settoriali, con particolare riferimento a digitalizzazione, transizione energetica, edilizia e rigenerazione urbana.;https://www.gazzettaufficiale.it/eli/id/2021/07/30/21A04731/sg;https://www.gazzettaufficiale.it/eli/id/2021/07/30/21G00118/sg;N/A;N/A;N/A;N/A;N/A;N/A;N/A
