Missione;Descrizione Missione;Componente;Descrizione Componente;ID Misura;Codice Univoco Misura;Descrizione Misura;Amministrazione Titolare;Codice univoco Milestone-Target;Milestone-Target;Nome Milestone-Target;Avanzamento;﻿Principali evidenze;﻿Allegato 1;﻿Allegato 2;﻿Allegato 3;﻿Allegato 4;﻿Allegato 5;﻿Allegato 6;﻿Allegato 7;﻿Allegato 8;﻿Allegato 9;﻿Allegato 10;﻿Allegato 11;﻿Allegato 12;﻿Allegato 13;﻿Allegato 14;﻿Allegato 15;﻿Allegato 16;﻿Allegato 17;﻿Allegato 18;﻿Allegato 19;﻿Allegato 20;﻿Allegato 21;﻿Allegato 22;﻿Allegato 23;﻿Allegato 24;﻿Allegato 25;﻿Allegato 26;﻿Allegato 27;﻿Allegato 28;﻿Allegato 29;﻿Allegato 30;﻿Allegato 31;﻿Allegato 32;﻿Allegato 33;﻿Allegato 34;﻿Allegato 35;﻿Allegato 36;﻿Allegato 37
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1R1.2;M1C1R1.02;Supporto alla trasformazione;PCM - Dip Trasf Dig;M1C1-10;Milestone;Entrata in vigore del processo di creazione del Team per la Trasformazione e della NewCo;2022 - 4° trimestre;"E' stato adottato il Decreto del Presidente del Consiglio dei Ministri dell’8 settembre 2021 con cui sono stati definiti gli elementi qualificanti per la costituzione del contingente di esperti che opererà presso l'Ufficio per la trasformazione. Sono stati inoltre pubblicati i 33 avvisi per la ricerca degli esperti e gli esiti delle selezioni e conferiti gli incarichi.  Per la creazione della “NewCo"", l'articolo 28 del decreto-legge 30 aprile 2022 n. 36 ha autorizzato la costituzione della società  stabilendone la denominazione in 3-I S.p.A. Il Decreto del Presidente del Consiglio dei Ministri del 5 agosto 2022 ha approvato lo statuto della 3-I S.p.A. Sono stati adottati i decreti ministeriali di nomina dei componenti del Consiglio di amministrazione e del Collegio sindacale. E' stata istituita la società 3-I S.p.A.";"https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legge:2022-04-30;36http://www.normattiva.it/eli/id/2022/04/30/22G00049/CONSOLIDATED";https://dait.interno.gov.it/finanza-locale/documentazione/decreto-6-dicembre-2021;https://www.datocms-assets.com/38008/1662571578-approvazione-dello-statuto-della-3-i-s-p-a.pdf;https://presidenza.governo.it/AmministrazioneTrasparente/BandiConcorso/wave_esperti/211221_ALLEGATO.pdf;https://presidenza.governo.it/AmministrazioneTrasparente/Sovvenzioni/CriteriModalita/Avviso_DTD_espertiPNRR/1644489236-avviso-pubblico_20220207.pdf;https://presidenza.governo.it/AmministrazioneTrasparente/BandiConcorso/PNNR_DTD/147-esperti/1651762072-avviso-pubblico-selezione-di-n-147-esperti-missione-1-componente-1-del-pnrr.pdf;https://presidenza.governo.it/AmministrazioneTrasparente/BandiConcorso/Transformation_office_PNNR/220712_Decreto_approvazione_Avvisi_docx_signed.pdf;https://presidenza.governo.it/AmministrazioneTrasparente/BandiConcorso/waveA/DecretoapprovazioneAvvisiwaveAsigned.pdf;https://presidenza.governo.it/AmministrazioneTrasparente/BandiConcorso/wave_abis/220809_Decreto%20revoca_parziale_Avvisi.docx_signed.pdf;https://presidenza.governo.it/AmministrazioneTrasparente/BandiConcorso/waveB/220812_DecretoAvvisiWAVEB.docx_signed.pdf;https://presidenza.governo.it/AmministrazioneTrasparente/BandiConcorso/waveC/220830_Decreto_approvazione_Avvisi_waveC.pdf%5C;https://presidenza.governo.it/AmministrazioneTrasparente/BandiConcorso/wave_D/220913_ApprovazioneAvviso.pdf;https://presidenza.governo.it/AmministrazioneTrasparente/BandiConcorso/wave_E/220928_Decreto%20approvazione%20Avvisi_WAVE%20E.pdf;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1R1.13;M1C1R1.13;"Riforma del quadro di revisione della spesa pubblica (""spending review"")";MEF - Min Eco e Fin;M1C1-102;Milestone;Adozione di una relazione sull'efficacia delle pratiche utilizzate da amministrazioni selezionate per valutare l'elaborazione e l'attuazione di piani di risparmio.;2022 - 4° trimestre;Il Dipartimento della Ragioneria Generale dello Stato in collaborazione con amministrazioni selezionate (Ministero della giustizia e nel Ministero della salute) ha redatto la relazione sull’efficacia delle pratiche utilizzate per la formulazione e l’implementazione dei piani di risparmio per definire orientamenti per tutte le amministrazioni centrali.;https://www.rgs.mef.gov.it/VERSIONE-I/pubblicazioni/analisi_e_valutazione_della_spesa/la_revisione_della_spesa_del_bilancio_dello_stato/;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1R1.12;M1C1R1.12;Riforma dell'amministrazione fiscale;MEF - Min Eco e Fin;M1C1-105;Target;"Numero più elevato di ""lettere di conformità""";2022 - 4° trimestre;L'Agenzia delle entrate, come previsto dal proprio piano delle Attività redatto applicando l'analisi del rischio per l'individuazione di anomalie fiscali, ha inviato 2.637.383 lettere di conformità.;https://www.agenziaentrate.gov.it/portale/web/guest/informativa-conseguimento-target-pnrr;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1R1.12;M1C1R1.12;Riforma dell'amministrazione fiscale;MEF - Min Eco e Fin;M1C1-106;Target;"Ridurre il numero di ""lettere di conformità"" che rappresentano falsi positivi";2022 - 4° trimestre;L'Agenzia delle entrate, come previsto dal proprio piano delle Attività redatto applicando l'analisi del rischio per l'individuazione di anomalie fiscali, ha inviato 20.332 lettere di conformità che rappresentano falsi positivi, riduzione superiore al 5% del valore del 2019.;https://www.agenziaentrate.gov.it/portale/web/guest/informativa-conseguimento-target-pnrr;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1R1.12;M1C1R1.12;Riforma dell'amministrazione fiscale;MEF - Min Eco e Fin;M1C1-107;Target;"Aumentare il gettito fiscale generato dalle ""lettere di conformità""";2022 - 4° trimestre;Il gettito fiscale derivante dalle lettere di conformità inviate nell'anno è aumentato di un ammontare di 2.945.556.829, superiore al valore target di 2.449.500.000 e in misura maggiore al 15 % dello stesso gettito del 2019.;https://www.agenziaentrate.gov.it/portale/web/guest/informativa-conseguimento-target-pnrr;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.6;M1C1I1.06;Digitalizzazione delle grandi amministrazioni centrali;PCM - Dip Trasf Dig;M1C1-123;Target;"INPS - Servizi/contenuti del portale ""One click by design"" T1";2022 - 4° trimestre;Sono stati messi a disposizione 37 servizi supplementari sul sito web istituzionale dell'INPS.;https://www.inps.it/prestazioni-servizi/assegno-unico-e-universale-per-i-figli-a-carico;https://www.inps.it/prestazioni-servizi/delega-dellidentita-digitale-per-accedere-ai-servizi-online;https://www.inps.it/news/pensione-di-reversibilita-su-myinps-la-domanda-precompilata;https://www.inps.it/news/invalidita-civile-nuovo-servizio-per-la-documentazione-sanitaria ;https://www.inps.it/news/verifica-green-pass-per-laccesso-ai-luoghi-di-lavoro-servizio-online;https://serviziweb2.inps.it/AS0207/SimScePen/#top;https://youtu.be/Jm_J1114GC8;https://youtu.be/XKl6zuhniF8;https://www.inps.it/news/lavoratori-autonomi-dello-spettacolo-indennita-di-disoccupazione-alas;https://www.inps.it/news/indennita-per-lavoratori-autonomi-iscro-domanda-online;https://servizi2.inps.it/servizi/IseePrecompilato/home.aspx;https://www.inps.it/news/patronati-disponibile-per-tutti-gli-operatori-il-servizio-combipat;https://serviziweb2.inps.it/AS0207/SimCalPrePen/riscatto/;https://www.inps.it/prestazioni-servizi/domanda-di-quantificazione-dellanticipo-finanziario-tfstfr;https://www.inps.it/news/nuovi-servizi-inps-disponibili-sulla-app-io;https://servizi2.inps.it/servizi/CircMessStd/VisualizzaDoc.aspx?tipologia=circmess&idunivoco=13787;https://www.inps.it/prestazioni-servizi/assegno-temporaneo-figli-minori;https://www.inps.it/inps-comunica/inps-inclusione-e-innovazione/i-progetti-per-i-cittadini/disabilita;https://www.inps.it/prestazioni-servizi/consulente-digitale-delle-pensioni;https://www.inps.it/inps-comunica/dossier/la-naspi;https://servizi2.inps.it/servizi/CircMessStd/VisualizzaDoc.aspx?tipologia=circmess&idunivoco=13761;https://www.inps.it/news/info-cig-in-myinps-live-chat-attiva-su-tutto-il-territorio;https://www.inps.it/prestazioni-servizi/assegno-per-congedo-matrimoniale;https://www.inps.it/news/inps-notizie-attivo-il-nuovo-servizio-per-alexa-e-google-assistant;https://servizi2.inps.it/servizi/ComunicatiStampa/DownloadCS.aspx?ID_COMUNICATO=3120;https://servizi2.inps.it/servizi/ComunicatiStampa/DownloadCS.aspx?ID_COMUNICATO=3120;https://servizi2.inps.it/servizi/ComunicatiStampa/DownloadCS.aspx?ID_COMUNICATO=3120;https://www.inps.it/news/indennita-una-tantum-200-euro-circolare-con-istruzioni-e-beneficiari;https://www.inps.it/news/patronati-il-portale-si-rinnova;https://www.inps.it/news/ricongiunzione-e-computo-nuove-funzioni-per-la-domanda-online;https://serviziweb2.inps.it/AS0207/arsrvint-web/;https://www.inps.it/app-mobile/inps-mobile;https://www.inps.it/news/delega-dellidentita-digitale-registrazione-tramite-web-meeting;https://www.inps.it/prestazioni-servizi/cassetto-previdenziale-del-contribuente;https://www.inps.it/prestazioni-e-servizi/faq-domande-frequenti/naspi;https://servizi2.inps.it/servizi/IseePrecompilato/docs/info/Guide/ISEE%20Precompilato.pdf;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.6;M1C1I1.06;Digitalizzazione delle grandi amministrazioni centrali;PCM - Dip Trasf Dig;M1C1-124;Target;INPS - Miglioramento delle competenze dei dipendenti in materia di tecnologie dell'informazione e della comunicazione (ICT) T1;2022 - 4° trimestre;"Sono stati valutati più di 4 250 dipendenti dell'INPS per quanto riguarda le competenze informatiche e le competenze certificate migliorate nei seguenti settori del quadro europeo delle competenze informatiche:1. Plan;2. Build; 3. Run;4. Enable; 5. Manage.";https://www.inps.it/news/pnrr-formazione-personale-su-competenze-informatiche;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.1;M1C1I1.01;Infrastrutture digitali;PCM - Dip Trasf Dig;M1C1-3;Milestone;Completamento del Polo Strategico Nazionale (PSN);2022 - 4° trimestre;Il test di quattro datacenter è completato con successo il che consente l'avvio del processo di migrazione dei dataset e delle applicazioni delle pubbliche amministrazioni verso il PSN.;https://innovazione.gov.it/notizie/articoli/al-via-il-polo-strategico-nazionale/;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I3;M1C1I3.00;Procedure di assunzione per i tribunali civili, penali e amministrativi;MIG - Min Giustizia;M1C1-34;Target;Avvio delle procedure di assunzione per i tribunali civili e penali;2022 - 4° trimestre;Sono state avviate le procedure di assunzione di almeno 8 764 dipendenti per l'Ufficio per il processo per i tribunali civili e penali ed entrata in servizio di tali dipendenti.;http://riqualificazione.formez.it/content/concorso-pubblico-titoli-e-prova-scritta-base-distrettuale-reclutamento-tempo-determinato;http://riqualificazione.formez.it/content/ministero-giustizia-concorso-pubblico-titoli-ed-esami-base-distrettuale-reclutamento-tempo-3;http://riqualificazione.formez.it/content/concorsi-ripam-giustizia-totale-5410-unita-tempo-determinato-personale-non-dirigenziale-area;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1R3.1;M1C1R3.01;Riforma della giustizia;MIG - Min Giustizia;M1C1-35;Milestone;Riforma completa delle commissioni tributarie di primo e secondo grado;2022 - 4° trimestre;"La riforma delle commissioni tributarie è stata attuata con l'adozione della legge 31 agosto 2022, n. 130 ""Disposizioni in materia di giustizia e di processo tributari"". ";https://www.normattiva.it/eli/id/2022/09/01/22G00141/CONSOLIDATED;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
