Codice univoco programma;Programma;Descrizione programma
PNC-A.1;Servizi digitali e cittadinanza digitale;"Il PNC rafforza con ulteriori risorse la misura PNRR M1C1- Investimento 1.4: ""Servizi digitali e esperienza dei cittadini"" volta a migliorare i servizi digitali offerti ai cittadini."
PNC-A.2;Servizi digitali e competenze digitali;"Il PNC rafforza con ulteriori risorse la misura PNRR M1C1- Investimento 1.7: ""Competenze digitali di base"" volta a ridurre la quota di popolazione attualmente a rischio di esclusione digitale"
PNC-A.3;Tecnologie satellitari ed economia spaziale  ;"Il PNC rafforza con ulteriori risorse la misura PNRR M1C2- Investimento 4: ""Tecnologia satellitare ed economia spaziale"" volta a ""sviluppare connessioni satellitari in vista della transizione digitale e verde e contribuire allo sviluppo del settore spaziale. L'investimento ha anche lo scopo di consentire servizi come le comunicazioni sicure e le infrastrutture di monitoraggio per vari settori dell'economia e comprende a tal fine attività sia a monte (servizi di lancio, produzione e gestione di satelliti e infrastrutture) che a valle (generazione di prodotti e servizi abilitati)."""
PNC-A.4;Ecosistemi per l’innovazione al Sud in contesti urbani marginalizzati;L'obiettivo del progetto è la riqualificazione infrastrutturale di siti localizzati nelle regioni del Mezzogiorno per ospitare percorsi di istruzione superiore, ricerca multidisciplinare e creazione di imprese orientati alla creazione di almeno 4 Ecosistemi dell'Innovazione.
PNC-B.1;Interventi per le aree del terremoto del 2009 e 2016;"Il progetto, destinato a tutte le aree del Centro Italia colpite da numerosi eventi sismici negli ultimi 15 anni, è suddiviso in due misure di intervento finalizzate a porre rimedio alle conseguenze degli eventi che ne hanno seriamente influenzato la vivibilità, con effetti duraturi sulla vita urbana e socio-economica:
A. CITTÀ E PAESI SICURI, SOSTENIBILI E CONNESSI
B. RILANCIO ECONOMICO E SOCIALE
I principali campi di intervento riguardano le aree perimetrali già fortemente colpite da eventi cataclismici e che richiedono quindi misure specifiche di ricostruzione sicura e sostenibile, garantendo un processo di riattivazione economica, ambientale e sociale dei territori."
PNC-C.1;Rinnovo delle flotte di bus, treni e navi verdi - Bus;L’obiettivo di questa misura è l’acquisto di circa 1.500 veicoli ad alimentazione GNL e GNC (metano) destinati al trasporto extraurbano ed interurbano. Beneficiari delle risorse sono le Regioni. Tale misura integra quanto previsto dal PNRR (acquisto di autobus elettici e ad idrogeno) consentendo la possibilità di acquisto di mezzi ad alimentazione a metano e contribuendo in modo determinante a favorire la transizione ecologica nell’attività di rinnovo del parco mezzi extraurbani e interurbani adibito al trasporto pubblico locale (che presenta un’età media di 10 anni e attualmente alimentato a gasolio). Il 50% delle risorse per i primi tre anni del Piano potrà essere destinato alla realizzazione di infrastrutture di supporto.
PNC-C.2;Rinnovo delle flotte di bus, treni e navi verdi - Navi;"La misura, divisa in tre azioni distinte, si pone i seguenti obiettivi:
- Sub-investimento I - (costo complessivo di 500 mln di euro) Rinnovare la flotta navale mediterranea con unità a combustibile in grado di ridurre l’impatto ambientale.
- Sub-investimento II - (costo complessivo di 80 mln di euro) Rinnovo della flotta navale per l’attraversamento stretto di Messina: mezzi veloci, di proprietà RFI, che garantiscono la continuità territoriale in interconnessione con i treni da/per Villa S.Giovanni e Messina con nuovi mezzi ibridi a basse emissioni, ibridizzazione di 3 unità navali per trasporto treni, di proprietà di RFI, per limitare le emissioni atmosferiche.
- Sub-investimento III - (costo complessivo di 220 mln di euro) Aumentare la disponibilità di combustibili marini alternativi (GNL)."
PNC-C.3;Rafforzamento delle linee ferroviarie regionali;L’obiettivo dell’intervento è potenziare le linee e le infrastrutture ferroviarie regionali non interconnesse per risolvere i problemi di collegamento ed interoperabilità di queste con la rete nazionale principale
PNC-C.4;Rinnovo del materiale rotabile e infrastrutture per il trasporto ferroviario delle merci;"La misura si suddivide in due azioni:
Sub - investimento 1: rinnovo di locomotive merci e carri obsoleti o loro ammodernamento mediante aggiornamento e potenziamento e l’elettrificazione, con eventuale installazione di impianti di controllo da remoto, dei collegamenti ferroviari di ultimo miglio per ridurre i tempi di manovra e l'utilizzo di mezzi di smistamento ad alimentazione diesel e, di conseguenza, le emissioni inquinanti;
Sub - investimento 2: rinnovo dei mezzi per il trasporto intermodali (locotrattori, transtainer, gru)."
PNC-C.5;Strade sicure - Messa in sicurezza e implementazione di un sistema di monitoraggio dinamico per il controllo da remoto di ponti, viadotti e tunnel (A24-A25);"L’investimento ha ad oggetto: la predisposizione e realizzazione di un sistema di monitoraggio dinamico per i controlli a distanza sulle strutture (ponti, viadotti, cavalcavia e gallerie) delle autostrade A24-A25, necessario per pianificare gli interventi di messa in sicurezza in modo economicamente vantaggioso e per migliorare i livelli di manutenzione; l’attuazione di un piano straordinario per il controllo e la messa in sicurezza delle strutture sulle autostrade A24-A25; l’adeguamento ed efficientamento energetico del sistema impiantistico del traforo del Gran Sasso.
L’investimento riguarda:
- controllo di 170 opere d’arte e implementazione prototipo nazionale “smart road”;
- interventi strutturali su 36 ponti e viadotti complessivi;
- adeguamento del traforo del Gran Sasso ed efficientamento energetico."
PNC-C.6;Strade sicure - Implementazione di un sistema di monitoraggio dinamico per il controllo da remoto di ponti, viadotti e tunnel della rete viaria principale;"Il progetto prevede l'attuazione di un sistema integrato di censimento, classificazione e gestione dei rischi per 12.000 opere d’arte della rete nazionale SNIT, di cui 6.500 saranno strumentate, mediante:
- la predisposizione e l’attuazione di un sistema di monitoraggio dinamico con controllo a distanza;
- la gestione della sicurezza delle infrastrutture stradali in modo strutturale e attraverso un processo iterativo (analisi della rete, sopralluoghi, gestione del sistema digitalizzato, classificazione delle priorità, attuazione degli interventi).
L’implementazione, prevista dal DM 578/2020 come obbligo per tutti i gestori della rete SNIT, verrà predisposta sulle Linee Guida per la classificazione e gestione del rischio, la valutazione della sicurezza ed il monitoraggio dei ponti esistenti emanate dal Consiglio Superiore dei Lavori Pubblici, e persegue l’indirizzo avviato con il D.L. 109/2018 sull’aumento della sicurezza delle infrastrutture."
PNC-C.7;Sviluppo dell’accessibilità marittima e della resilienza delle infrastrutture portuali ai cambiamenti climatici;L'obiettivo del progetto è migliorare l'accessibilità marittima principalmente attraverso interventi di rafforzamento e consolidamento su dighe, moli e banchine, anche per consentire l'adeguamento al crescente tonnellaggio delle navi.
PNC-C.8;Aumento selettivo della capacità portuale;L'obiettivo degli investimenti proposti è quello di aumentare la capacità portuale, sia attraverso opere di dragaggio sia con lo sviluppo di nuovi moli e/o di nuove piattaforme logistiche.
PNC-C.9;Ultimo/Penultimo Miglio Ferroviario/Stradale;L'obiettivo dell’investimento è realizzare una serie di collegamenti dell'ultimo/penultimo miglio ferroviario e stradale previsti nel documento #Italiaveloce.
PNC-C.10;Efficientamento energetico;realizzare un progetto pilota di efficienza energetica denominato “Stretto Green” che interesserà i porti dell'Autorità dello Stretto (Messina, Milazzo, Villa San Giovanni e Reggio Calabria), incentivando la transizione energetica della mobilità marittima predisponendo l'elettrificazione delle banchine dei porti AdSP dello Stretto.
PNC-C.11;Elettrificazione delle banchine (Cold ironing);Il progetto si pone l’obiettivo di elettrificare le banchine al fine di ridurre la dipendenza dal petrolio e diminuire l'impatto ambientale nel settore dei trasporti, in linea con la Direttiva 2014/94/UE (Direttiva DAFI) che richiede la realizzazione di una rete di fornitura di energia elettrica lungo le coste con l'obiettivo di completarla entro il 31 dicembre 2025. L'investimento proposto, in linea con gli obiettivi nazionali di decarbonizzazione stabiliti nel PNIEC in termini di efficienza energetica nei trasporti, si concentrerebbe in prevalenza sui porti appartenenti alla rete TEN-T. Esso consiste nella realizzazione di una rete di sistemi per la fornitura di energia elettrica dalla riva alle navi durante la fase di ormeggio, in modo da ridurre al minimo l'utilizzo dei motori ausiliari di bordo per l'autoproduzione dell'energia elettrica necessaria, riducendo sensibilmente emissioni di CO2, ossidi di azoto e polveri sottili, nonché l'impatto acustico.
PNC-C.12;Strategia Nazionale Aree Interne - Miglioramento dell'accessibilità e della sicurezza delle strade;"La proposta di investimento, complementare a quella contenuta nel PNRR, punta al miglioramento e sicurezza della mobilità e dell'accessibilità, recuperando pienamente il deficit di manutenzione nella rete stradale secondaria, e ad aumentare l'accessibilità delle Aree Interne, definite dalla Strategia Nazionale delle Aree interne (SNAI 72 aree interne - 1.077 comuni - 2 milioni di abitanti).
L'obiettivo è quello di riqualificare circa 2.000 km di strade provinciali, comprendendo le opere d’arte serventi. Le risorse sono ripartite tra le Aree Interne in base ai criteri della popolazione residente, della lunghezza delle strade principali, dei rischi in relazione all’accelerazione sismica, alle situazioni di dissesto idrogeologico ed alla disponibilità del trasporto pubblico locale."
PNC-C.13;Sicuro, verde e sociale: riqualificazione dell'edilizia residenziale pubblica;"il Programma è finalizzato ad intervenire sul patrimonio di edilizia residenziale pubblica con l’obiettivo di migliorare l’efficienza energetica del patrimonio di edilizia residenziale pubblica, la resilienza e la sicurezza sismica, nonché la condizione sociale nei tessuti residenziali pubblici grazie alle seguenti azioni:
a) interventi diretti alla verifica e alla valutazione della sicurezza sismica e statica di edifici di edilizia residenziale pubblica e realizzazione di progetti di miglioramento o di adeguamento sismico;
b) interventi di efficientamento energetico di alloggi, ovvero di edifici di edilizia residenziale pubblica, ivi comprese le relative progettazioni;
c) interventi di razionalizzazione degli spazi di edilizia residenziale pubblica, ivi compresi gli interventi di frazionamento e ridimensionamento degli alloggi, se eseguiti congiuntamente ad uno degli interventi di cui alle lettere a) e b)
d) interventi di riqualificazione degli spazi pubblici se eseguiti congiuntamente ad uno degli interventi di cui alle lettere a) e b), ivi compresi i progetti di miglioramento e valorizzazione delle aree verdi, dell’ambito urbano di pertinenza degli immobili oggetto di intervento;
e) operazioni di acquisto di immobili, da destinare alla sistemazione temporanea degli assegnatari i cui alloggi di edilizia residenziale pubblica oggetto degli interventi di cui alle medesime lettere a) e b), a condizione che gli immobili da acquistare siano in possesso di caratteristiche energetiche e antisismiche almeno pari a quelle indicate come requisito minimo da raggiungere per gli immobili oggetto degli interventi di cui alle lettere a) e b).
f) locazione di alloggi da destinare temporaneamente agli assegnatari di alloggi di edilizia residenziale pubblica oggetto degli interventi di cui alle lettere a) e b)."
PNC-D.1;Piano di investimenti strategici sui siti del patrimonio culturale, edifici e aree naturali;"interventi su diverse tipologie di beni, tutti di natura pubblica e appartenenti a Enti Locali o al Ministero della Cultura:
- interventi di rigenerazione integrata di recupero urbano e/o processi di riqualificazione culturale.
- Interventi di restauro e/o recupero del patrimonio culturale in aree che richiedono interventi rilevanti.
- interventi in ambiti paesaggistico/territoriali."
PNC-E.1;Salute, ambiente, biodiversità e clima;"Gli investimenti si pongono i seguenti obiettivi:
- rafforzamento complessivo delle strutture e dei servizi di SNPS-SNPA a livello nazionale, regionale e locale, migliorando le infrastrutture, le capacità umane e tecnologiche e la ricerca applicata;
- sviluppo e implementazione di specifici programmi operativi pilota per la definizione di modelli di intervento integrato salute-ambiente-clima in 2 siti contaminati selezionati di interesse nazionale;
- programma nazionale di formazione continua in salute-ambiente-clima;
- promozione e finanziamento di ricerca applicata con approcci multidisciplinari in specifiche aree di intervento salute-ambiente-clima anche di livello universitario;
- piattaforma di rete digitale nazionale SNPA-SNPS."
PNC-E.2;Verso un nuovo ospedale sicuro e sostenibile;Adattare le strutture ospedaliere alle attuali normative antisismiche. L’obiettivo del progetto è la realizzazione di 220 interventi
PNC-E.3;Ecosistema innovativo della salute;"Il progetto mira a creare un ecosistema sanitario innovativo attraverso la creazione di reti clinico-transnazionali di eccellenza in grado di mettere in comune le competenze esistenti in Italia e creare interventi pubblico-privati che lavorino in sinergia per innovare, sviluppare e creare opportunità occupazionali per posti di lavoro altamente qualificati. Sono previste tre macro- azioni: creazione di una rete di centri di trasferimento tecnologico; rafforzamento e lo sviluppo qualitativo e quantitativo degli Hub life science per area geografica (Nord - Centro - Sud Italia); la realizzazione di un HUB per la gestione e contrasto alle malattie infettive epidemiche/pandemiche - APH (laboratori di diagnostica virologica di eccellenza, strutture di ricerca, sviluppo e produzione di vaccini e anticorpi monoclonali, strutture deputate allo studio e contrasto dell’antibioticoresistenza, gestione di una rete di eccellenza di strutture per la diagnosi e cura delle malattie infettive e del trattamento intensivistico ad esso associato)."
PNC-F.1;Polis - Case dei servizi di cittadinanza digitale;L'obiettivo del Progetto è di promuovere la coesione economica, sociale e territoriale in relazione ai piccoli centri urbani e nelle aree interne del Paese, contribuendo al loro rilancio attraverso, anzitutto, la realizzazione di uno “sportello unico” di prossimità che assicuri ai cittadini residenti nei comuni più piccoli la possibilità di fruire di tutti i servizi pubblici, in modalità digitale, per il tramite di un unico punto di accesso alla piattaforma di servizio multicanale di Poste Italiane. Tale Progetto accelererà la trasformazione digitale del settore pubblico, dotandolo di un punto di accesso dislocato e sicuro nei territori più difficilmente raggiungibili per la diffusione e la fruibilità dei servizi digitali tra i cittadini superando il digital divide. L’intervento coinvolgerà infatti 6.910 Uffici Postali negli altrettanti Comuni con popolazione inferiore a 15.000 abitanti in cui attualmente è presente un ufficio postale, nel 100% delle 72 aree interne del Paese. Gli uffici saranno radicalmente trasformati e dotati di una infrastruttura tecnologica e digitale all’avanguardia che abiliti l’automazione dei servizi e la rapida diffusione dei nuovi servizi digitali della PA. Gli obiettivi del Progetto saranno perseguiti anche attraverso la realizzazione della più ampia rete nazionale di spazi di co-working, nei Capoluoghi di Provincia e in altri centri di medie dimensioni. Si prevede infatti la realizzazione di 250 “Spazi per l’Italia” con oltre 5.000 postazioni di lavoro, spazi di riunione, servizi condivisi, aree dedicate a eventi e formazione.
PNC-F.2;Transizione 4.0;"Il PNC rafforza con ulteriori risorse la misura PNRR M1C2- Investimento 1: ""Transizione 4.0"" volta a sostenere la trasformazione digitale delle imprese incentivando gli investimenti privati in beni e attività a sostegno della digitalizzazione"
PNC-F.3;Accordi per l'Innovazione;L’intervento “Accordi per l’Innovazione” mira a sostenere sull’intero territorio nazionale la realizzazione di progetti di ricerca e sviluppo, in grado di sperimentare e introdurre soluzioni innovative di alto profilo, anche attraverso la collaborazione con centri di trasferimento tecnologico, organismi di ricerca e di diffusione della conoscenza, in linea con il Piano di Transizione 4.0 e con la Strategia Nazionale di Specializzazione Intelligente (SNSI).
PNC-G.1;Costruzione e Miglioramento padiglioni e spazi strutture penitenziarie per adulti e minori;"L’investimento si propone i seguenti obiettivi:
- miglioramento degli spazi e della qualità della vita carceraria negli istituti penitenziari attraverso la costruzione di 8 nuovi padiglioni “modello” per detenuti adulti (in aree statali già a disposizione dell’Amministrazione Penitenziaria). La finalità è quella di ampliare il patrimonio immobiliare penitenziario allo scopo di migliorare la qualità dell’esecuzione della pena, favorendo le attività lavorative, contrastando sovraffollamento e recidiva, garantendo una ricettività che garantisca le condizioni di sicurezza e salute di tutti i settori della vita di detenzione all’interno di strutture a vocazione riabilitativa e a costo energetico quasi zero (NZEB);
- adeguamento strutturale, aumento dell’efficienza energetica ed interventi antisismici di quattro complessi demaniali sede di Istituti penali per i minorenni."
PNC-H.1;Contratti di filiera e distrettuali per i settori agroalimentare, pesca e acquacoltura, silvicoltura, floricoltura e vivaismo;L'intervento mira a rafforzare lo strumento dei contratti di filiera e di distretto per i settori agroalimentare, pesca e acquacoltura, silvicoltura e floricoltura e vivaismo, attraverso programmi di investimento integrati su tutto il territorio nazionale che promuovano obiettivi di sostenibilità ambientale. In tutti i settori di intervento, lo strumento dei contratti di filiera e di distretto è volto a potenziare le relazioni intersettoriali lungo le catene di produzione, trasformazione e commercializzazione, attraverso l’aggregazione dei produttori e la creazione di responsabilità solidale delle imprese della filiera, migliorando la posizione degli agricoltori nella catena del valore. Inoltre, si vuole facilitare la partecipazione degli operatori, anche dislocati in aree rurali o marginali, ai processi di aggregazione, contribuendo a contrastare lo spopolamento delle aree rurali.
PNC-I.1;Iniziative di ricerca per tecnologie e percorsi innovativi in ​​ambito sanitario e assistenziale;L’iniziativa prevede il finanziamento di progetti di ricerca con l’obiettivo di mettere a sistema in chiave innovativa il potenziamento della ricerca nell’ambito delle tecnologie abilitanti in ambito sanitario al fine di migliorare la diagnosi, il monitoraggio, le cure assistenziali e riabilitative. Il piano proposto si attuerà tramite la presenza di quattro grandi iniziative basate su robotica e strumenti digitali, monitoraggio a distanza, reingegnerizzazione dei processi, data mining.
PNC-L.1;Piani urbani integrati;"Il PNC rafforza con ulteriori risorse la misura PNRR M5C2 Investimento 5: ""Piani urbani integrati (progetti generali e superamento degli insediamenti abusivi per combattere lo sfruttamento dei lavoratori in agricoltura)"" volta a rigenerare, rivitalizzare e migliorare le grandi aree urbane degradate, con particolare attenzione alla creazione di nuovi servizi per la persona e la riqualificazione dell'accessibilità e delle infrastrutture intermodali allo scopo di trasformare territori metropolitani vulnerabili in città intelligenti e sostenibili."
PNC-M.1;Ecobonus e Sismabonus fino al 110% per l'efficienza energetica e la sicurezza degli edifici;"Il PNC rafforza con ulteriori risorse la misura PNRR M2C3 Investimento 2.1 ""Rafforzamento dell'Ecobonus e del Sismabonus per l'efficienza energetica e la sicurezza degli edifici"" volta a incentivare l'efficientamento energetico e sismico degli edifici residenziali, compresa l'edilizia residenziale pubblica."
