Programma;Missione;Descrizione Missione;Componente;Descrizione Componente;ID Misura;Codice Univoco Misura;Descrizione Misura;ID Submisura;Codice Univoco Sub-misura;Codice CID;Descrizione Sub-misura;Amministrazione Titolare;Codice Indicatore;Descrizione Indicatore;Unità di misura;Stock o Flusso
PNRR;M4;Istruzione e ricerca;M4C2;Dalla ricerca all'impresa;M4C2I3.1;M4C2I3.01;Fondo per la realizzazione di un sistema integrato di infrastrutture di ricerca e innovazione;M4C2I3.1;M4C2I3.1;M4C2I3.1;Fondo per la realizzazione di un sistema integrato di infrastrutture di ricerca e innovazione;MIN DELL'UNIVERSITÀ E DELLA RICERCA;C9.G;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (GRANDI IMPRESE);Imprese;Flusso
PNRR;M4;Istruzione e ricerca;M4C2;Dalla ricerca all'impresa;M4C2I3.1;M4C2I3.01;Fondo per la realizzazione di un sistema integrato di infrastrutture di ricerca e innovazione;M4C2I3.1;M4C2I3.1;M4C2I3.1;Fondo per la realizzazione di un sistema integrato di infrastrutture di ricerca e innovazione;MIN DELL'UNIVERSITÀ E DELLA RICERCA;C9.M;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (MEDIE IMPRESE);Imprese;Flusso
PNRR;M4;Istruzione e ricerca;M4C2;Dalla ricerca all'impresa;M4C2I3.1;M4C2I3.01;Fondo per la realizzazione di un sistema integrato di infrastrutture di ricerca e innovazione;M4C2I3.1;M4C2I3.1;M4C2I3.1;Fondo per la realizzazione di un sistema integrato di infrastrutture di ricerca e innovazione;MIN DELL'UNIVERSITÀ E DELLA RICERCA;C9.S;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (PICCOLE E MICRO IMPRESE);Imprese;Flusso
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I3;M1C1I3.00;Procedure di assunzione per i tribunali civili, penali e amministrativi;M1C1I3.1;M1C1I1.8;M1C1I1.8;Investimento in capitale umano per rafforzare l’Ufficio del Processo e superare le disparità tra tribunali;MINISTERO DELLA GIUSTIZIA;C10IC;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE - COMPETENZE DIGITALI (UOMINI; 30-54)";Persone;Flusso
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I3;M1C1I3.00;Procedure di assunzione per i tribunali civili, penali e amministrativi;M1C1I3.1;M1C1I1.8;M1C1I1.8;Investimento in capitale umano per rafforzare l’Ufficio del Processo e superare le disparità tra tribunali;MINISTERO DELLA GIUSTIZIA;C10ID;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE - COMPETENZE DIGITALI (UOMINI; 55<)";Persone;Flusso
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I3;M1C1I3.00;Procedure di assunzione per i tribunali civili, penali e amministrativi;M1C1I3.1;M1C1I1.8;M1C1I1.8;Investimento in capitale umano per rafforzare l’Ufficio del Processo e superare le disparità tra tribunali;MINISTERO DELLA GIUSTIZIA;C10IE;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE - COMPETENZE DIGITALI (DONNE; ETÀ 0-17)";Persone;Flusso
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I3;M1C1I3.00;Procedure di assunzione per i tribunali civili, penali e amministrativi;M1C1I3.1;M1C1I1.8;M1C1I1.8;Investimento in capitale umano per rafforzare l’Ufficio del Processo e superare le disparità tra tribunali;MINISTERO DELLA GIUSTIZIA;C10IF;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE - COMPETENZE DIGITALI (DONNE; ETÀ 18-29)";Persone;Flusso
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I3;M1C1I3.00;Procedure di assunzione per i tribunali civili, penali e amministrativi;M1C1I3.1;M1C1I1.8;M1C1I1.8;Investimento in capitale umano per rafforzare l’Ufficio del Processo e superare le disparità tra tribunali;MINISTERO DELLA GIUSTIZIA;C10IG;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE - COMPETENZE DIGITALI (DONNE; 30-54)";Persone;Flusso
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I3;M1C1I3.00;Procedure di assunzione per i tribunali civili, penali e amministrativi;M1C1I3.1;M1C1I1.8;M1C1I1.8;Investimento in capitale umano per rafforzare l’Ufficio del Processo e superare le disparità tra tribunali;MINISTERO DELLA GIUSTIZIA;C10IH;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE - COMPETENZE DIGITALI (DONNE; 55<)";Persone;Flusso
PNRR;M4;Istruzione e ricerca;M4C2;Dalla ricerca all'impresa;M4C2I1.1;M4C2I1.01;Fondo per il Programma Nazionale Ricerca (PNR) e progetti di Ricerca di Significativo Interesse Nazionale (PRIN);M4C2I1.1;M4C2I1.1;M4C2I1.1;Fondo per il Programma Nazionale Ricerca (PNR) e progetti di Ricerca di Significativo Interesse Nazionale (PRIN);MIN DELL'UNIVERSITÀ E DELLA RICERCA;C8.M;RICERCATORI CHE LAVORANO IN CENTRI DI RICERCA BENEFICIARI DI UN SOSTEGNO (UOMINI);Annual Full Time Equivalent;Flusso
