Codice Univoco Submisura;Descrizione Submisura;Numero seriale ;Titolo Bando o Avviso;CIG;Soggetto emanante;Codice Fiscale;Importo complessivo gara;Importo previsto PNRR;Importo previsto altri fondi;Data apertura bando;Data chiusura effettiva bando;Fino ad esaurimento risorse;Stato del Bando;Link al bando;Numero richieste;Numero partecipanti;Importo totale interventi-progetti proposti;Numero degli aggiudicatari;Destinatari del Bando o dell’Avviso;Importo Aggiudicato Totale;Importo Aggiudicato PNRR;Importo Aggiudicato Altri Fondi;Data aggiornamento-osservazione bandi
M1C1I1.01.00;Infrastrutture digitali;246;"Avviso pubblico Investimento 1.1 Infrastrutture digitali ""Migrazione al Polo Strategico Nazionale - PAC PILOTA (febbraio 2023)""";;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;373800000;;10/02/2023;28/04/2023;;In corso;https://innovazione.gov.it/notizie/avvisi-pubblici/migrazione-al-polo-strategico-nazionale-pubbliche-amministrazioni-centrali/;;;;;Pubbliche amministrazioni centrali;;;;10/02/2023
M1C1I1.02.00;Abilitazione al cloud per le PA locali;118;Abilitazione al cloud per le PA Locali” Comuni Aprile 2022;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;500000000;;19/04/2022;22/07/2022;;Aggiudicato;https://areariservata.padigitale2026.gov.it/Pa_digitale2026_dettagli_avviso?id=a017Q00000c8mFyQAI;;2788;640167298;2788;Comuni;492735761;492735761;;19/10/2022
M1C1I1.02.00;Abilitazione al cloud per le PA locali;119;Abilitazione al Cloud per le PA Locali - Scuole - Aprile 2022;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;50000000;;26/04/2022;24/06/2022;;Chiuso;https://areariservata.padigitale2026.gov.it/Pa_digitale2026_dettagli_avviso?id=a017Q00000dk80MQAQ;;2920;20386898;2920;Scuole;;;;12/12/2022
M1C1I1.02.00;Abilitazione al cloud per le PA locali;143;"Abilitazione al Cloud per le PA Locali"" SCUOLE (giugno 2022)";;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;40000000;;27/06/2022;21/10/2022;;Chiuso;https://areariservata.padigitale2026.gov.it/Pa_digitale2026_dettagli_avviso?id=a017Q00000ocbtmQAA;;;;;"Scuole sedi di
Direttivo dislocate su tutto il territorio nazionale.";;;;12/12/2022
M1C1I1.02.00;Abilitazione al cloud per le PA locali;151;Avviso Investimento 1.2 “Abilitazione al cloud per le PA Locali ” Comuni Luglio 2022;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;;;25/07/2022;10/02/2023;;Chiuso;https://areariservata.padigitale2026.gov.it/Pa_digitale2026_dettagli_avviso?id=a017Q00000uzQmzQAE;;;;;Comuni;;;;24/01/2023
M1C1I1.02.00;Abilitazione al cloud per le PA locali;218;Avviso Investimento 1.2 “Abilitazione al cloud per le PA locali” - Scuole (dicembre 2022);;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;40000000;;07/12/2022;24/02/2023;;In corso;https://areariservata.padigitale2026.gov.it/Pa_digitale2026_dettagli_avviso?id=a017Q00001B0xPgQAJ     ;;;;;Scuole;;;;13/02/2023
M1C1I1.02.00;Abilitazione al cloud per le PA locali;235;"
Avviso Investimento 1.2 “Abilitazione al Cloud per le PA Locali ” ASL/AO dicembre 2022
";;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;35000000;;28/12/2022;10/02/2023;;Chiuso;https://areariservata.padigitale2026.gov.it/Pa_digitale2026_dettagli_avviso?id=a017Q00001Dpb8TQAR;;;;;Aziende sanitarie locali e Aziende ospedaliere;;;;28/12/2022
M1C1I1.03.01;Piattaforma Digitale Nazionale Dati;208;"Avviso Misura 1.3.1 ""Piattaforma Digitale Nazionale Dati"" Comuni Ottobre 2022";;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;110000000;;20/10/2022;19/05/2023;;In corso;https://areariservata.padigitale2026.gov.it/Pa_digitale2026_dettagli_avviso?id=a017Q00001B04NoQAJ;;;;;Comuni;;;;24/10/2022
M1C1I1.03.01;Piattaforma Digitale Nazionale Dati;234;"Avviso Misura 1.3.1 ""Piattaforma Digitale Nazionale Dati"" Regioni e Province Autonome - dicembre 2022";;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;50000000;;22/12/2022;30/06/2023;;In corso;https://areariservata.padigitale2026.gov.it/Pa_digitale2026_dettagli_avviso?id=a017Q00001DpRjQQAV;;;;;Regioni e province autonome;;;;22/12/2022
M1C1I1.04.01;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali;120;"Esperienza del cittadino nei servizi pubblici"" - Scuole - Aprile 2022";;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;45000000;;26/04/2022;24/06/2022;;Aggiudicato;https://areariservata.padigitale2026.gov.it/Pa_digitale2026_dettagli_avviso?id=a017Q00000dk82wQAA;;;;;Scuole;18303607;18303607;;29/04/2022
