Codice Univoco submisura;CUP ;codice fiscale PROGRAMMATORE;Denominazione PROGRAMMATORE;forma giuridica PROGRAMMATORE;descrizione forma giuritica PROGRAMMATORE;Codice ATECO PROGRAMMATORE ;codice fiscale  ATTUATORE;Denominazione ATTUATORE;forma giuridica ATTUATORE;descrizione forma giuritica ATTUATORE;Codice ATECO ATTUTORE;codice fiscale BENEFICIARIO;Denominazione BENEFICIARIO;forma giuridica_BENEFICIARIO;descrizione forma giuritica  BENEFICIARIO;Codice ATECO BENEFICIARIO 
M1C3I4.01.00;J51B21002940006;96480590585;MINISTERO DEL TURISMO;38;Ministero;84.11.10;96480590585;MINISTERO DEL TURISMO;38;Ministero;84.11.10;N/D;N/D;N/D;N/D;N/D
M1C2I5.01.01;E91B21008390006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;02598070247;NECSI S.R.L.;11;Società  a responsabilità  limitata;74.90.11;02598070247;NECSI S.R.L.;11;Società  a responsabilità  limitata;74.90.11
M1C2I5.01.01;E61B21008510006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;03292190638;TECNO ATI S.R.L.;11;Società  a responsabilità  limitata;46.74.10;03292190638;TECNO ATI S.R.L.;11;Società  a responsabilità  limitata;46.74.10
M1C2I5.01.01;E31B21010450006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01078310354;METHODO CHEMICALS - S.R.L.;12;Srl con un unico socio;46.46.10;01078310354;METHODO CHEMICALS - S.R.L.;12;Srl con un unico socio;46.46.10
M1C2I5.01.01;E11B21009930006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;09738350017;TRIGENIA S.R.L.;11;Società  a responsabilità  limitata;71.12.10;09738350017;TRIGENIA S.R.L.;11;Società  a responsabilità  limitata;71.12.10
M1C2I5.01.01;E61B21008520006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;02985780275;VENITEM S.R.L.;11;Società  a responsabilità  limitata;27.90.02;02985780275;VENITEM S.R.L.;11;Società  a responsabilità  limitata;27.90.02
M1C2I5.01.01;E71B21007140006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;00664470259;SILCON PLASTIC S.R.L.;11;Società  a responsabilità  limitata;32.50.14;00664470259;SILCON PLASTIC S.R.L.;11;Società  a responsabilità  limitata;32.50.14
M1C2I5.01.01;E11B21009940006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;03850030242;ROTOMEC S.R.L.;11;Società  a responsabilità  limitata;28.94.10;03850030242;ROTOMEC S.R.L.;11;Società  a responsabilità  limitata;28.94.10
M1C2I5.01.01;E41B21011690006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;00218350122;MARIO CAVELLI S.R.L.;11;Società  a responsabilità  limitata;13.96.10;00218350122;MARIO CAVELLI S.R.L.;11;Società  a responsabilità  limitata;13.96.10
M1C2I5.01.01;E41B21011700006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;03987590480;ENOITALIA - COSTRUZIONI MACCHINE ENOLOGI;11;Società  a responsabilità  limitata;28.93.00;03987590480;ENOITALIA - COSTRUZIONI MACCHINE ENOLOGI;11;Società  a responsabilità  limitata;28.93.00
