Programma,Missione,Descrizione Missione,Componente,Descrizione Componente,ID Misura,Codice Univoco Misura,Descrizione Misura,ID submisura,Codice CID,Codice Univoco submisura,Descrizione submisura,Amministrazione Titolare,CUP,CUP_COD_NATURA,CUP_DESCR_NATURA,Codice Locale Progetto,Titolo progetto,FINANZIAMENTO _UE,FINANZIAMENTO_REGIONE,FINANZIAMENTO_PROVINCIA,FINANZIAMENTO_COMUNE,FINANZIAMENTO_ALTRO_PUBBLICO,FINANZIAMENTO_PRIVATO,FINANZ_DA_REPERIRE,FINANZIAMENTO_PNRR,FINANZIAMENTO_PNC,FINANZ_TOTALE
PNRR,M1,"Digitalizzazione, innovazione, competitività e cultura",M1C3,Turismo e Cultura 4.0,M1C3I4.1,M1C3I4.01,Hub del Turismo Digitale,M1C3I4.1,M1C3I4.1,M1C3I4.01.00,Hub del Turismo Digitale,MiTur - Min Turismo,J51B21002940006,2,Acquisto o realizzazione di servizi,J51B21002940006,SEGRETARIATO GENERALE*VIA DI VILLA ADA 55 ROMA*HUB TURISMO DIGITALE,N/D,N/D,N/D,N/D,N/D,N/D,N/D,114.000.000,N/D,114.000.000
PNRR,M1,"Digitalizzazione, innovazione, competitività e cultura",M1C2,"Digitalizzazione, innovazione e competitività nel sistema produttivo",M1C2I5.1,M1C2I5.01,Politiche industriali di filiera e internazionalizzazione  ,M1C2I5.1.1,M1C2I5.1,M1C2I5.01.01,Rifinanziamento e ridefinizione del Fondo 394/81 gestito da SIMEST,MAECI - Min Aff Est,E91B21008390006,7,Concessione di incentivi ad unita' produttive,80001/FF/FP,NECSI SRL*FINANZIAMENTI PER L'INTERNAZIONALIZZAZIONE DELLE IMPRESE E PER LA TRANSIZIONE DIGITALE*VIA TENENTE EDOARDO VELO 28,N/D,N/D,N/D,N/D,N/D,N/D,N/D,40.000,N/D,40.000
PNRR,M1,"Digitalizzazione, innovazione, competitività e cultura",M1C2,"Digitalizzazione, innovazione e competitività nel sistema produttivo",M1C2I5.1,M1C2I5.01,Politiche industriali di filiera e internazionalizzazione  ,M1C2I5.1.1,M1C2I5.1,M1C2I5.01.01,Rifinanziamento e ridefinizione del Fondo 394/81 gestito da SIMEST,MAECI - Min Aff Est,E61B21008510006,7,Concessione di incentivi ad unita' produttive,80002/FF/FP,TECNO ATI SRL*FINANZIAMENTI PER L'INTERNAZIONALIZZAZIONE DELLE IMPRESE E PER LA TRANSIZIONE DIGITALE*VIA TRACCIA A POGGIOREALE 527,N/D,N/D,N/D,N/D,N/D,N/D,N/D,110.000,N/D,110.000
PNRR,M1,"Digitalizzazione, innovazione, competitività e cultura",M1C2,"Digitalizzazione, innovazione e competitività nel sistema produttivo",M1C2I5.1,M1C2I5.01,Politiche industriali di filiera e internazionalizzazione  ,M1C2I5.1.1,M1C2I5.1,M1C2I5.01.01,Rifinanziamento e ridefinizione del Fondo 394/81 gestito da SIMEST,MAECI - Min Aff Est,E31B21010450006,7,Concessione di incentivi ad unita' produttive,80003/FF/FP,METHODO CHEMICALS SRL*FINANZIAMENTI PER L'INTERNAZIONALIZZAZIONE DELLE IMPRESE E PER LA TRANSIZIONE DIGITALE*VIA A.M. AMPERE 33 33,N/D,N/D,N/D,N/D,N/D,N/D,N/D,60.000,N/D,60.000
PNRR,M1,"Digitalizzazione, innovazione, competitività e cultura",M1C2,"Digitalizzazione, innovazione e competitività nel sistema produttivo",M1C2I5.1,M1C2I5.01,Politiche industriali di filiera e internazionalizzazione  ,M1C2I5.1.1,M1C2I5.1,M1C2I5.01.01,Rifinanziamento e ridefinizione del Fondo 394/81 gestito da SIMEST,MAECI - Min Aff Est,E11B21009930006,7,Concessione di incentivi ad unita' produttive,80005/FF/FP,TRIGENIA SRL*FINANZIAMENTI PER L'INTERNAZIONALIZZAZIONE DELLE IMPRESE E PER LA TRANSIZIONE DIGITALE*CORSO VITTORIO EMANUELE II 71,N/D,N/D,N/D,N/D,N/D,N/D,N/D,40.000,N/D,40.000
PNRR,M1,"Digitalizzazione, innovazione, competitività e cultura",M1C2,"Digitalizzazione, innovazione e competitività nel sistema produttivo",M1C2I5.1,M1C2I5.01,Politiche industriali di filiera e internazionalizzazione  ,M1C2I5.1.1,M1C2I5.1,M1C2I5.01.01,Rifinanziamento e ridefinizione del Fondo 394/81 gestito da SIMEST,MAECI - Min Aff Est,E61B21008520006,7,Concessione di incentivi ad unita' produttive,80006/FF/FP,VENITEM SRL*FINANZIAMENTI PER L'INTERNAZIONALIZZAZIONE DELLE IMPRESE E PER LA TRANSIZIONE DIGITALE*VIA DEL LAVORO 10,N/D,N/D,N/D,N/D,N/D,N/D,N/D,70.280,N/D,70.280
PNRR,M1,"Digitalizzazione, innovazione, competitività e cultura",M1C2,"Digitalizzazione, innovazione e competitività nel sistema produttivo",M1C2I5.1,M1C2I5.01,Politiche industriali di filiera e internazionalizzazione  ,M1C2I5.1.1,M1C2I5.1,M1C2I5.01.01,Rifinanziamento e ridefinizione del Fondo 394/81 gestito da SIMEST,MAECI - Min Aff Est,E71B21007140006,7,Concessione di incentivi ad unita' produttive,80007/FF/FP,SILCON PLASTIC SRL*FINANZIAMENTI PER L'INTERNAZIONALIZZAZIONE DELLE IMPRESE E PER LA TRANSIZIONE DIGITALE*ZONA INDUSTRIALE 2,N/D,N/D,N/D,N/D,N/D,N/D,N/D,120.000,N/D,120.000
PNRR,M1,"Digitalizzazione, innovazione, competitività e cultura",M1C2,"Digitalizzazione, innovazione e competitività nel sistema produttivo",M1C2I5.1,M1C2I5.01,Politiche industriali di filiera e internazionalizzazione  ,M1C2I5.1.1,M1C2I5.1,M1C2I5.01.01,Rifinanziamento e ridefinizione del Fondo 394/81 gestito da SIMEST,MAECI - Min Aff Est,E11B21009940006,7,Concessione di incentivi ad unita' produttive,80008/FF/FP,ROTOMEC SRL*FINANZIAMENTI PER L'INTERNAZIONALIZZAZIONE DELLE IMPRESE E PER LA TRANSIZIONE DIGITALE*VIA LUNGOCHIAMPO 59,N/D,N/D,N/D,N/D,N/D,N/D,N/D,68.910,N/D,68.910
PNRR,M1,"Digitalizzazione, innovazione, competitività e cultura",M1C2,"Digitalizzazione, innovazione e competitività nel sistema produttivo",M1C2I5.1,M1C2I5.01,Politiche industriali di filiera e internazionalizzazione  ,M1C2I5.1.1,M1C2I5.1,M1C2I5.01.01,Rifinanziamento e ridefinizione del Fondo 394/81 gestito da SIMEST,MAECI - Min Aff Est,E41B21011690006,7,Concessione di incentivi ad unita' produttive,80009/FF/FP,MARIO CAVELLI SRL*FINANZIAMENTI PER L'INTERNAZIONALIZZAZIONE DELLE IMPRESE E PER LA TRANSIZIONE DIGITALE*VIA BADEN POWELL 9,N/D,N/D,N/D,N/D,N/D,N/D,N/D,30.000,N/D,30.000
PNRR,M1,"Digitalizzazione, innovazione, competitività e cultura",M1C2,"Digitalizzazione, innovazione e competitività nel sistema produttivo",M1C2I5.1,M1C2I5.01,Politiche industriali di filiera e internazionalizzazione  ,M1C2I5.1.1,M1C2I5.1,M1C2I5.01.01,Rifinanziamento e ridefinizione del Fondo 394/81 gestito da SIMEST,MAECI - Min Aff Est,E41B21011700006,7,Concessione di incentivi ad unita' produttive,80010/FF/FP,ENOITALIA COSTRUZIONI MACCHINE ENOLOGICHE SRL*FINANZIAMENTI PER L'INTERNAZIONALIZZAZIONE DELLE IMPRESE E PER LA TRANSIZIONE DIGITALE*VIA PROVINCIALE PISANA 162,N/D,N/D,N/D,N/D,N/D,N/D,N/D,60.000,N/D,60.000
