valore,PRO_COM_T
4865457621.567784,058091
2054059938.2498534,015146
1818010161.6254785,063049
1205232556.1173632,037006
1095525266.8251953,072006
1071051697.6386719,082053
1030049362.1595995,022205
989768249.5450585,001272
883333982.3592334,010025
649173010.5931616,048017
582988443.7627587,027042
556978293.0529785,087015
491285066.6974511,028060
488071859.015625,083048
487538379.5003662,073027
399594953.0093994,062008
352458740.4772339,092009
331630566.3735156,050026
257828299.9959619,054039
256685404.1472168,080063
225031395.23181152,016024
216637766.47216797,061022
210259974.1527002,090064
206535962.74536133,017029
193200984.35729003,032006
190009813.1411035,036023
182202170.73106933,034027
181316617.180542,023091
174223696.27398682,075035
162696417.76849365,071024
159548192.3684082,087029
157448040.1586914,087007
155295576.0605371,018110
152614857.31707764,066049
148514519.43920898,042002
147928431.45910645,065116
144404354.32092285,064008
144128097.82836914,038008
139138173.8232422,079160
133159603.20153809,099014
132528104.84222412,044007
131471184.57739258,063034
128642617.74938965,052032
128113049.48803711,003106
127648379.73132324,056059
127316813.9350586,048006
126640630.15075684,035033
123977379.3581543,078102
122887047.51732421,068028
122402849.57470703,048001
120563785.4440918,012133
119509642.59588623,076063
118947130.79370117,077014
115589988.61395264,087033
113272719.10913086,058104
109728887.70884275,033032
108782957.36877441,039014
107220446.00720215,100005
105611013.46252441,089001
105509686.27966309,072004
103650964.09674072,070006
102988406.48291016,041044
102569657.57470703,110001
102551419.00866699,078157
101417930.54467773,051002
100796012.08166504,069022
100590648.94274902,038001
98007623.31811523,058039
97649470.41210938,081021
93482517.37194824,055032
92810224.97753906,078029
89639071.94812012,049009
89014965.80981445,109006
88422136.68463135,059011
87659126.50488281,074001
87285055.74804688,047014
86559790.03161621,028100
86445549.28513671,043023
84198955.60742188,087012
83603648.37524414,026021
83273454.53796387,028072
83230018.61309814,079023
81543483.0253601,067041
81467170.44702148,108033
80415714.58947754,042018
80164570.45483398,030129
80089716.55285645,045010
78773761.43029785,004078
78120889.62304688,070078
76946070.15966797,065052
75650576.22595215,006003
74587739.55749512,110002
74348243.66612792,040012
74097862.3795166,061005
74080024.44665527,085007
73694663.84863281,089017
72360499.71960449,078045
72039655.16052246,058079
71982175.00280762,063002
70336619.11779785,057059
69803111.89263916,071029
69501359.58203125,082070
67997635.2420044,019036
67449892.86120605,063060
67397207.16955566,065014
66531290.4409082,040007
66395926.458221436,053011
66199348.170288086,063050
65859185.96057129,029041
65426797.4720459,088009
65067117.09509277,094023
64598929.865722656,110009
64294220.46606445,061082
63756756.71508789,101010
63472461.357055664,008031
63043054.70581055,086009
62998200.236694336,041067
62956162.66931152,002158
62890920.10084375,020030
62736686.86020996,046017
61863961.90951538,060038
61766316.14465332,024116
61732485.17053223,102047
61690836.978149414,005005
61431515.38574219,092109
61065954.755981445,065050
59495709.725097656,080038
58167675.197753906,021008
57720251.48803711,061027
57616135.89733887,037032
57481233.30810547,084001
57430773.70031738,026086
57339932.88671875,095038
57282305.61846924,090047
56262613.00793457,091051
54457433.96057129,076043
54048569.65881348,085004
53545314.76281738,041013
53075863.02404785,063024
52556204.45776367,082054
